fac_id,unt_id,value_ts,insght_value
12139999,1613581,1/11/2019 17:00,17
12139999,1613581,1/11/2019 18:00,17
12139999,1613581,1/11/2019 19:00,16
12139999,1613581,1/11/2019 20:00,16
12139999,1613581,1/11/2019 21:00,15
12139999,1613581,1/11/2019 22:00,14
12139999,1613581,1/11/2019 23:00,19
12139999,1613581,1/12/2019 0:00,24
12139999,1613581,1/12/2019 1:00,21
12139999,1613581,1/12/2019 2:00,23
12139999,1613581,1/12/2019 3:00,24
12139999,1613581,1/12/2019 4:00,21
12139999,1613581,1/12/2019 5:00,20
12139999,1613581,1/12/2019 6:00,22
12139999,1613581,1/12/2019 7:00,22
12139999,1613581,1/12/2019 8:00,22
12139999,1613581,1/12/2019 9:00,27
12139999,1613581,1/12/2019 10:00,30
12139999,1613581,1/12/2019 11:00,28
12139999,1613581,1/12/2019 12:00,30
12139999,1613581,1/12/2019 13:00,30
12139999,1613581,1/12/2019 14:00,30
12139999,1613581,1/12/2019 15:00,31
12139999,1613581,1/12/2019 16:00,23
12139999,1613581,1/12/2019 17:00,18
12139999,1613581,1/12/2019 18:00,15
12139999,1613581,1/12/2019 19:00,14
12139999,1613581,1/12/2019 20:00,9
12139999,1613581,1/12/2019 21:00,8
12139999,1613581,1/12/2019 22:00,7
12139999,1613581,1/12/2019 23:00,5
12139999,1613581,1/13/2019 0:00,2
12139999,1613581,1/13/2019 1:00,6
12139999,1613581,1/13/2019 2:00,7
12139999,1613581,1/13/2019 3:00,8
12139999,1613581,1/13/2019 4:00,7
12139999,1613581,1/13/2019 5:00,9
12139999,1613581,1/13/2019 6:00,6
12139999,1613581,1/13/2019 7:00,6
12139999,1613581,1/13/2019 8:00,5
12139999,1613581,1/13/2019 9:00,6
12139999,1613581,1/13/2019 10:00,6
12139999,1613581,1/13/2019 11:00,6
12139999,1613581,1/13/2019 12:00,8
12139999,1613581,1/13/2019 13:00,8
12139999,1613581,1/13/2019 14:00,8
12139999,1613581,1/13/2019 15:00,9
12139999,1613581,1/13/2019 16:00,6
12139999,1613581,1/13/2019 17:00,6
12139999,1613581,1/13/2019 18:00,8
12139999,1613581,1/13/2019 19:00,5
12139999,1613581,1/13/2019 20:00,6
12139999,1613581,1/13/2019 21:00,8
12139999,1613581,1/13/2019 22:00,9
12139999,1613581,1/13/2019 23:00,8
12139999,1613581,1/14/2019 0:00,6
12139999,1613581,1/14/2019 1:00,7
12139999,1613581,1/14/2019 2:00,6
12139999,1613581,1/14/2019 3:00,6
12139999,1613581,1/14/2019 4:00,6
12139999,1613581,1/14/2019 5:00,8
12139999,1613581,1/14/2019 6:00,8
12139999,1613581,1/14/2019 7:00,7
12139999,1613581,1/14/2019 8:00,8
12139999,1613581,1/14/2019 9:00,10
12139999,1613581,1/14/2019 10:00,13
12139999,1613581,1/14/2019 11:00,14
12139999,1613581,1/14/2019 12:00,15
12139999,1613581,1/14/2019 13:00,16
12139999,1613581,1/14/2019 14:00,16
12139999,1613581,1/14/2019 15:00,16
12139999,1613581,1/14/2019 16:00,15
12139999,1613581,1/14/2019 17:00,13
12139999,1613581,1/14/2019 18:00,11
12139999,1613581,1/14/2019 19:00,8
12139999,1613581,1/14/2019 20:00,10
12139999,1613581,1/14/2019 21:00,13
12139999,1613581,1/14/2019 22:00,13
12139999,1613581,1/14/2019 23:00,13
12139999,1613581,1/15/2019 0:00,8
12139999,1613581,1/15/2019 1:00,8
12139999,1613581,1/15/2019 2:00,8
12139999,1613581,1/15/2019 3:00,8
12139999,1613581,1/15/2019 4:00,8
12139999,1613581,1/15/2019 5:00,8
12139999,1613581,1/15/2019 6:00,8
12139999,1613581,1/15/2019 7:00,8
12139999,1613581,1/15/2019 8:00,13
12139999,1613581,1/15/2019 9:00,14
12139999,1613581,1/15/2019 10:00,17
12139999,1613581,1/15/2019 11:00,17
12139999,1613581,1/15/2019 12:00,19
12139999,1613581,1/15/2019 13:00,20
12139999,1613581,1/15/2019 14:00,21
12139999,1613581,1/15/2019 15:00,17
12139999,1613581,1/15/2019 16:00,11
12139999,1613581,1/15/2019 17:00,8
12139999,1613581,1/15/2019 18:00,10
12139999,1613581,1/15/2019 19:00,9
12139999,1613581,1/15/2019 20:00,7
12139999,1613581,1/15/2019 21:00,10
12139999,1613581,1/15/2019 22:00,10
12139999,1613581,1/15/2019 23:00,11
12139999,1613581,1/16/2019 0:00,10
12139999,1613581,1/16/2019 1:00,7
12139999,1613581,1/16/2019 2:00,6
12139999,1613581,1/16/2019 3:00,6
12139999,1613581,1/16/2019 4:00,6
12139999,1613581,1/16/2019 5:00,7
12139999,1613581,1/16/2019 6:00,7
12139999,1613581,1/16/2019 7:00,7
12139999,1613581,1/16/2019 8:00,7
12139999,1613581,1/16/2019 9:00,9
12139999,1613581,1/16/2019 10:00,8
12139999,1613581,1/16/2019 11:00,9
12139999,1613581,1/16/2019 12:00,7
12139999,1613581,1/16/2019 13:00,4
12139999,1613581,1/16/2019 14:00,4
12139999,1613581,1/16/2019 15:00,4
12139999,1613581,1/16/2019 16:00,6
12139999,1613581,1/16/2019 17:00,5
12139999,1613581,1/16/2019 18:00,4
12139999,1613581,1/16/2019 19:00,2
12139999,1613581,1/16/2019 20:00,2
12139999,1613581,1/16/2019 21:00,4
12139999,1613581,1/16/2019 22:00,3
12139999,1613581,1/16/2019 23:00,3
12139999,1613581,1/17/2019 0:00,3
12139999,1613581,1/17/2019 1:00,3
12139999,1613581,1/17/2019 2:00,3
12139999,1613581,1/17/2019 3:00,3
12139999,1613581,1/17/2019 4:00,1
12139999,1613581,1/17/2019 5:00,1
12139999,1613581,1/17/2019 6:00,2
12139999,1613581,1/17/2019 7:00,2
12139999,1613581,1/17/2019 8:00,2
12139999,1613581,1/17/2019 9:00,2
12139999,1613581,1/17/2019 10:00,1
12139999,1613581,1/17/2019 11:00,1
12139999,1613581,1/17/2019 12:00,1
12139999,1613581,1/17/2019 13:00,4
12139999,1613581,1/17/2019 14:00,2
12139999,1613581,1/17/2019 15:00,3
12139999,1613581,1/17/2019 16:00,6
12139999,1613581,1/17/2019 17:00,1
12139999,1613581,1/17/2019 18:00,6
12139999,1613581,1/17/2019 19:00,2
12139999,1613581,1/17/2019 20:00,2
12139999,1613581,1/17/2019 21:00,5
12139999,1613581,1/17/2019 22:00,6
12139999,1613581,1/17/2019 23:00,7
12139999,1613581,1/18/2019 0:00,8
12139999,1613581,1/18/2019 1:00,4
12139999,1613581,1/18/2019 2:00,2
12139999,1613581,1/18/2019 3:00,3
12139999,1613581,1/18/2019 4:00,3
12139999,1613581,1/18/2019 5:00,3
12139999,1613581,1/18/2019 6:00,2
12139999,1613581,1/18/2019 7:00,2
12139999,1613581,1/18/2019 8:00,2
12139999,1613581,1/18/2019 9:00,3
12139999,1613581,1/18/2019 10:00,1
12139999,1613581,1/18/2019 11:00,0
12139999,1613581,1/18/2019 12:00,2
12139999,1613581,1/18/2019 13:00,4
12139999,1613581,1/18/2019 14:00,1
12139999,1613581,1/18/2019 15:00,7
12139999,1613581,1/18/2019 16:00,4
12139999,1613581,1/18/2019 17:00,3
12139999,1613581,1/18/2019 18:00,5
12139999,1613581,1/18/2019 19:00,5
12139999,1613581,1/18/2019 20:00,5
12139999,1613581,1/18/2019 21:00,5
12139999,1613581,1/18/2019 22:00,4
12139999,1613581,1/18/2019 23:00,4
12139999,1613581,1/19/2019 0:00,6
12139999,1613581,1/19/2019 1:00,7
12139999,1613581,1/19/2019 2:00,7
12139999,1613581,1/19/2019 3:00,6
12139999,1613581,1/19/2019 4:00,4
12139999,1613581,1/19/2019 5:00,4
12139999,1613581,1/19/2019 6:00,5
12139999,1613581,1/19/2019 7:00,5
12139999,1613581,1/19/2019 8:00,3
12139999,1613581,1/19/2019 9:00,3
12139999,1613581,1/19/2019 10:00,4
12139999,1613581,1/19/2019 11:00,4
12139999,1613581,1/19/2019 12:00,5
12139999,1613581,1/19/2019 13:00,5
12139999,1613581,1/19/2019 14:00,3
12139999,1613581,1/19/2019 15:00,3
12139999,1613581,1/19/2019 16:00,5
12139999,1613581,1/19/2019 17:00,4
12139999,1613581,1/19/2019 18:00,3
12139999,1613581,1/19/2019 19:00,5
12139999,1613581,1/19/2019 20:00,4
12139999,1613581,1/19/2019 21:00,3
12139999,1613581,1/19/2019 22:00,2
12139999,1613581,1/19/2019 23:00,3
12139999,1613581,1/20/2019 0:00,4
12139999,1613581,1/20/2019 1:00,4
12139999,1613581,1/20/2019 2:00,1
12139999,1613581,1/20/2019 3:00,2
12139999,1613581,1/20/2019 4:00,1
12139999,1613581,1/20/2019 5:00,1
12139999,1613581,1/20/2019 6:00,1
12139999,1613581,1/20/2019 7:00,0
12139999,1613581,1/20/2019 8:00,0
12139999,1613581,1/20/2019 9:00,2
12139999,1613581,1/20/2019 10:00,2
12139999,1613581,1/20/2019 11:00,4
12139999,1613581,1/20/2019 12:00,6
12139999,1613581,1/20/2019 13:00,1
12139999,1613581,1/20/2019 14:00,2
12139999,1613581,1/20/2019 15:00,4
12139999,1613581,1/20/2019 16:00,4
12139999,1613581,1/20/2019 17:00,2
12139999,1613581,1/20/2019 18:00,2
12139999,1613581,1/20/2019 19:00,3
12139999,1613581,1/20/2019 20:00,1
12139999,1613581,1/20/2019 21:00,4
12139999,1613581,1/20/2019 22:00,5
12139999,1613581,1/20/2019 23:00,2
12139999,1613581,1/21/2019 0:00,3
12139999,1613581,1/21/2019 1:00,5
12139999,1613581,1/21/2019 2:00,8
12139999,1613581,1/21/2019 3:00,5
12139999,1613581,1/21/2019 4:00,2
12139999,1613581,1/21/2019 5:00,4
12139999,1613581,1/21/2019 6:00,7
12139999,1613581,1/21/2019 7:00,8
12139999,1613581,1/21/2019 8:00,4
12139999,1613581,1/21/2019 9:00,5
12139999,1613581,1/21/2019 10:00,4
12139999,1613581,1/21/2019 11:00,4
12139999,1613581,1/21/2019 12:00,6
12139999,1613581,1/21/2019 13:00,5
12139999,1613581,1/21/2019 14:00,5
12139999,1613581,1/21/2019 15:00,3
12139999,1613581,1/21/2019 16:00,4
12139999,1613581,1/21/2019 17:00,5
12139999,1613581,1/21/2019 18:00,5
12139999,1613581,1/21/2019 19:00,6
12139999,1613581,1/21/2019 20:00,3
12139999,1613581,1/21/2019 21:00,3
12139999,1613581,1/21/2019 22:00,4
12139999,1613581,1/21/2019 23:00,5
12139999,1613581,1/22/2019 0:00,6
12139999,1613581,1/22/2019 1:00,8
12139999,1613581,1/22/2019 2:00,7
12139999,1613581,1/22/2019 3:00,7
12139999,1613581,1/22/2019 4:00,7
12139999,1613581,1/22/2019 5:00,6
12139999,1613581,1/22/2019 6:00,7
12139999,1613581,1/22/2019 7:00,4
12139999,1613581,1/22/2019 8:00,7
12139999,1613581,1/22/2019 9:00,6
12139999,1613581,1/22/2019 10:00,4
12139999,1613581,1/22/2019 11:00,5
12139999,1613581,1/22/2019 12:00,6
12139999,1613581,1/22/2019 13:00,8
12139999,1613581,1/22/2019 14:00,8
12139999,1613581,1/22/2019 15:00,8
12139999,1613581,1/22/2019 16:00,5
12139999,1613581,1/22/2019 17:00,7
12139999,1613581,1/22/2019 18:00,7
12139999,1613581,1/22/2019 19:00,6
12139999,1613581,1/22/2019 20:00,5
12139999,1613581,1/22/2019 21:00,5
12139999,1613581,1/22/2019 22:00,5
12139999,1613581,1/22/2019 23:00,6
12139999,1613581,1/23/2019 0:00,7
12139999,1613581,1/23/2019 1:00,6
12139999,1613581,1/23/2019 2:00,6
12139999,1613581,1/23/2019 3:00,4
12139999,1613581,1/23/2019 4:00,4
12139999,1613581,1/23/2019 5:00,4
12139999,1613581,1/23/2019 6:00,5
12139999,1613581,1/23/2019 7:00,5
12139999,1613581,1/23/2019 8:00,2
12139999,1613581,1/23/2019 9:00,2
12139999,1613581,1/23/2019 10:00,2
12139999,1613581,1/23/2019 11:00,5
12139999,1613581,1/23/2019 12:00,6
12139999,1613581,1/23/2019 13:00,6
12139999,1613581,1/23/2019 14:00,6
12139999,1613581,1/23/2019 15:00,6
12139999,1613581,1/23/2019 16:00,5
12139999,1613581,1/23/2019 17:00,7
12139999,1613581,1/23/2019 18:00,7
12139999,1613581,1/23/2019 19:00,8
12139999,1613581,1/23/2019 20:00,6
12139999,1613581,1/23/2019 21:00,2
12139999,1613581,1/23/2019 22:00,4
12139999,1613581,1/23/2019 23:00,5
12139999,1613581,1/24/2019 0:00,6
12139999,1613581,1/24/2019 1:00,4
12139999,1613581,1/24/2019 2:00,4
12139999,1613581,1/24/2019 3:00,3
12139999,1613581,1/24/2019 4:00,2
12139999,1613581,1/24/2019 5:00,2
12139999,1613581,1/24/2019 6:00,3
12139999,1613581,1/24/2019 7:00,5
12139999,1613581,1/24/2019 8:00,6
12139999,1613581,1/24/2019 9:00,7
12139999,1613581,1/24/2019 10:00,10
12139999,1613581,1/24/2019 11:00,11
12139999,1613581,1/24/2019 12:00,11
12139999,1613581,1/24/2019 13:00,8
12139999,1613581,1/24/2019 14:00,7
12139999,1613581,1/24/2019 15:00,3
12139999,1613581,1/24/2019 16:00,4
12139999,1613581,1/24/2019 17:00,4
12139999,1613581,1/24/2019 18:00,2
12139999,1613581,1/24/2019 19:00,4
12139999,1613581,1/24/2019 20:00,3
12139999,1613581,1/24/2019 21:00,5
12139999,1613581,1/24/2019 22:00,8
12139999,1613581,1/24/2019 23:00,8
12139999,1613581,1/25/2019 0:00,9
12139999,1613581,1/25/2019 1:00,9
12139999,1613581,1/25/2019 2:00,9
12139999,1613581,1/25/2019 3:00,9
12139999,1613581,1/25/2019 4:00,10
12139999,1613581,1/25/2019 5:00,11
12139999,1613581,1/25/2019 6:00,8
12139999,1613581,1/25/2019 7:00,10
12139999,1613581,1/25/2019 8:00,10
12139999,1613581,1/25/2019 9:00,10
12139999,1613581,1/25/2019 10:00,10
12139999,1613581,1/25/2019 11:00,11
12139999,1613581,1/25/2019 12:00,13
12139999,1613581,1/25/2019 13:00,16
12139999,1613581,1/25/2019 14:00,9
12139999,1613581,1/25/2019 15:00,6
12139999,1613581,1/25/2019 16:00,4
12139999,1613581,1/25/2019 17:00,7
12139999,1613581,1/25/2019 18:00,7
12139999,1613581,1/25/2019 19:00,7
12139999,1613581,1/25/2019 20:00,6
